index,stopword
0,a
1,about
2,above
3,after
4,again
5,against
6,all
7,am
8,an
9,and
10,any
11,are
12,aren't
13,as
14,at
15,be
16,because
17,been
18,before
19,being
20,below
21,between
22,both
23,but
24,by
25,can
26,can't
27,cannot
28,could
29,couldn't
30,did
31,didn't
32,do
33,does
34,doesn't
35,doing
36,don
37,don't
38,down
39,during
40,each
41,few
42,for
43,from
44,further
45,had
46,hadn't
47,has
48,hasn't
49,have
50,haven't
51,having
52,he
53,he'd
54,he'll
55,he's
56,her
57,here
58,here's
59,hers
60,herself
61,him
62,himself
63,his
64,how
65,how's
66,i
67,i'd
68,i'll
69,i'm
70,i've
71,if
72,in
73,into
74,is
75,isn't
76,it
77,it's
78,its
79,itself
80,just
81,let's
82,me
83,more
84,most
85,mustn't
86,my
87,myself
88,no
89,nor
90,not
91,now
92,of
93,off
94,on
95,once
96,only
97,or
98,other
99,ought
100,our
101,ours
102,ourselves
103,out
104,over
105,own
106,s
107,same
108,shan't
109,she
110,she'd
111,she'll
112,she's
113,should
114,shouldn't
115,so
116,some
117,such
118,t
119,than
120,that
121,that's
122,the
123,their
124,theirs
125,them
126,themselves
127,then
128,there
129,there's
130,these
131,they
132,they'd
133,they'll
134,they're
135,they've
136,this
137,those
138,through
139,to
140,too
141,under
142,until
143,up
144,very
145,was
146,wasn't
147,we
148,we'd
149,we'll
150,we're
151,we've
152,were
153,weren't
154,what
155,what's
156,when
157,when's
158,where
159,where's
160,which
161,while
162,who
163,who's
164,whom
165,why
166,why's
167,will
168,with
169,won't
170,would
171,wouldn't
172,you
173,you'd
174,you'll
175,you're
176,you've
177,your
178,yours
179,yourself
180,yourselves
